Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,A Balbirnie,A Balbirnie3,Simi Singh,Simi Singh4,KJ O'Brien,KJ O'Brien5,GH Dockrell,GH Dockrell6,SW Poynter,SW Poynter7,AR McBrine,AR McBrine8,J Cameron-Dow,J Cameron-Dow9,TJ Murtagh,TJ Murtagh10,WB Rankin,WB Rankin11
won,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,A Balbirnie,A Balbirnie3,Simi Singh,Simi Singh4,KJ O'Brien,KJ O'Brien5,GH Dockrell,GH Dockrell6,SW Poynter,SW Poynter7,AR McBrine,AR McBrine8,J Cameron-Dow,J Cameron-Dow9,WB Rankin,WB Rankin10,TJ Murtagh,TJ Murtagh11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,A Balbirnie,A Balbirnie3,LJ Tucker,LJ Tucker4,KJ O'Brien,KJ O'Brien5,GC Wilson,GC Wilson6,GH Dockrell,GH Dockrell7,MR Adair,MR Adair8,TJ Murtagh,TJ Murtagh9,JB Little,JB Little10,WB Rankin,WB Rankin11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,A Balbirnie,A Balbirnie3,LJ Tucker,LJ Tucker4,KJ O'Brien,KJ O'Brien5,GC Wilson,GC Wilson6,GH Dockrell,GH Dockrell7,MR Adair,MR Adair8,BJ McCarthy,BJ McCarthy9,TJ Murtagh,TJ Murtagh10,JB Little,JB Little11
lost,PR Stirling,PR Stirling1,JA McCollum,JA McCollum2,A Balbirnie,A Balbirnie3,WTS Porterfield,WTS Porterfield4,KJ O'Brien,KJ O'Brien5,MR Adair,MR Adair6,GC Wilson,GC Wilson7,GH Dockrell,GH Dockrell8,WB Rankin,WB Rankin9,TJ Murtagh,TJ Murtagh10,JB Little,JB Little11
lost,PR Stirling,PR Stirling1,JA McCollum,JA McCollum2,A Balbirnie,A Balbirnie3,WTS Porterfield,WTS Porterfield4,KJ O'Brien,KJ O'Brien5,MR Adair,MR Adair6,GC Wilson,GC Wilson7,GH Dockrell,GH Dockrell8,BJ McCarthy,BJ McCarthy9,WB Rankin,WB Rankin10,JB Little,JB Little11
won,PR Stirling,PR Stirling1,JA McCollum,JA McCollum2,A Balbirnie,A Balbirnie3,WTS Porterfield,WTS Porterfield4,KJ O'Brien,KJ O'Brien5,GC Wilson,GC Wilson6,GH Dockrell,GH Dockrell7,MR Adair,MR Adair8,AR McBrine,AR McBrine9,TJ Murtagh,TJ Murtagh10,WB Rankin,WB Rankin11
lost,PR Stirling,PR Stirling1,JA McCollum,JA McCollum2,A Balbirnie,A Balbirnie3,WTS Porterfield,WTS Porterfield4,KJ O'Brien,KJ O'Brien5,GC Wilson,GC Wilson6,AR McBrine,AR McBrine7,MR Adair,MR Adair8,BJ McCarthy,BJ McCarthy9,TJ Murtagh,TJ Murtagh10,WB Rankin,WB Rankin11
won,PR Stirling,PR Stirling1,JA McCollum,JA McCollum2,A Balbirnie,A Balbirnie3,WTS Porterfield,WTS Porterfield4,KJ O'Brien,KJ O'Brien5,LJ Tucker,LJ Tucker6,SC Getkate,SC Getkate7,MR Adair,MR Adair8,TJ Murtagh,TJ Murtagh9,WB Rankin,WB Rankin10,AR McBrine,AR McBrine11
won,PR Stirling,PR Stirling1,JA McCollum,JA McCollum2,A Balbirnie,A Balbirnie3,WTS Porterfield,WTS Porterfield4,KJ O'Brien,KJ O'Brien5,LJ Tucker,LJ Tucker6,SC Getkate,SC Getkate7,MR Adair,MR Adair8,AR McBrine,AR McBrine9,TJ Murtagh,TJ Murtagh10,WB Rankin,WB Rankin11
won,PR Stirling,PR Stirling1,JA McCollum,JA McCollum2,A Balbirnie,A Balbirnie3,WTS Porterfield,WTS Porterfield4,KJ O'Brien,KJ O'Brien5,LJ Tucker,LJ Tucker6,SC Getkate,SC Getkate7,MR Adair,MR Adair8,AR McBrine,AR McBrine9,TJ Murtagh,TJ Murtagh10,WB Rankin,WB Rankin11
lost,PR Stirling,PR Stirling1,GJ Delany,GJ Delany2,A Balbirnie,A Balbirnie3,WTS Porterfield,WTS Porterfield4,KJ O'Brien,KJ O'Brien5,LJ Tucker,LJ Tucker6,Simi Singh,Simi Singh7,MR Adair,MR Adair8,AR McBrine,AR McBrine9,BJ McCarthy,BJ McCarthy10,WB Rankin,WB Rankin11
lost,PR Stirling,PR Stirling1,GJ Delany,GJ Delany2,A Balbirnie,A Balbirnie3,WTS Porterfield,WTS Porterfield4,KJ O'Brien,KJ O'Brien5,LJ Tucker,LJ Tucker6,Simi Singh,Simi Singh7,MR Adair,MR Adair8,AR McBrine,AR McBrine9,BJ McCarthy,BJ McCarthy10,WB Rankin,WB Rankin11
lost,JA McCollum,JA McCollum1,PR Stirling,PR Stirling2,A Balbirnie,A Balbirnie3,WTS Porterfield,WTS Porterfield4,KJ O'Brien,KJ O'Brien5,LJ Tucker,LJ Tucker6,Simi Singh,Simi Singh7,MR Adair,MR Adair8,AR McBrine,AR McBrine9,BJ McCarthy,BJ McCarthy10,CA Young,CA Young11
lost,PR Stirling,PR Stirling1,GJ Delany,GJ Delany2,A Balbirnie,A Balbirnie3,HT Tector,HT Tector4,KJ O'Brien,KJ O'Brien5,LJ Tucker,LJ Tucker6,C Campher,C Campher7,Simi Singh,Simi Singh8,AR McBrine,AR McBrine9,BJ McCarthy,BJ McCarthy10,CA Young,CA Young11
lost,PR Stirling,PR Stirling1,GJ Delany,GJ Delany2,A Balbirnie,A Balbirnie3,HT Tector,HT Tector4,KJ O'Brien,KJ O'Brien5,LJ Tucker,LJ Tucker6,C Campher,C Campher7,Simi Singh,Simi Singh8,AR McBrine,AR McBrine9,CA Young,CA Young10,JB Little,JB Little11
won,PR Stirling,PR Stirling1,GJ Delany,GJ Delany2,A Balbirnie,A Balbirnie3,HT Tector,HT Tector4,KJ O'Brien,KJ O'Brien5,LJ Tucker,LJ Tucker6,C Campher,C Campher7,MR Adair,MR Adair8,AR McBrine,AR McBrine9,CA Young,CA Young10,JB Little,JB Little11
