player-1,player-2,player-3,avg
Mohammad Mithun,Mosharraf Hossain,Mohammad Naim,0
Mohammad Mithun,Mosharraf Hossain,Sabbir Rahman,0
Mohammad Mithun,Mosharraf Hossain,Shafiul Islam,0
Abul Hasan,Mohammad Mithun,Mosharraf Hossain,0
Jubair Hossain,Mohammad Mithun,Mosharraf Hossain,0
Mohammad Mithun,Mosharraf Hossain,Abu Jayed,0
Mohammad Mithun,Mosharraf Hossain,Afif Hossain,0
Mohammad Mithun,Mosharraf Hossain,Imrul Kayes,0
Mohammad Mithun,Mosharraf Hossain,Mohammad Saifuddin,0
Mohammad Mithun,Mosharraf Hossain,Najmul Hossain Shanto,0
Mominul Haque,Mosharraf Hossain,Mushfiqur Rahim,0
Al-Amin Hossain,Mominul Haque,Mosharraf Hossain,0
Mominul Haque,Mosharraf Hossain,Tanbir Hayder,0
Mashrafe Mortaza,Mominul Haque,Mosharraf Hossain,0
Sunzamul Islam,Mominul Haque,Mosharraf Hossain,0
Mominul Haque,Mosharraf Hossain,Mosaddek Hossain,0
Mominul Haque,Mosharraf Hossain,Ariful Haque,0
Mominul Haque,Fazle Mahmud,Mosharraf Hossain,0
Mominul Haque,Arafat Sunny,Mosharraf Hossain,0
Mominul Haque,Mosharraf Hossain,Rubel Hossain,0
Mominul Haque,Mehidy Hasan Miraz,Mosharraf Hossain,0
Mominul Haque,Taijul Islam,Mosharraf Hossain,0
Mahmudullah,Mominul Haque,Mosharraf Hossain,0
Mominul Haque,Mosharraf Hossain,Tamim Iqbal,0
Mominul Haque,Mosharraf Hossain,Soumya Sarkar,0
Mominul Haque,Subashis Roy,Mosharraf Hossain,0
Mominul Haque,Mosharraf Hossain,Liton Das,0
Mominul Haque,Shakib Al Hasan,Mosharraf Hossain,0
Mominul Haque,Mustafizur Rahman,Mosharraf Hossain,0
Mominul Haque,Mosharraf Hossain,Anamul Haque,0
Mominul Haque,Mohammad Naim,Mosharraf Hossain,0
Mominul Haque,Mosharraf Hossain,Sabbir Rahman,0
Mominul Haque,Mosharraf Hossain,Shafiul Islam,0
Abul Hasan,Mominul Haque,Mosharraf Hossain,0
Jubair Hossain,Mominul Haque,Mosharraf Hossain,0
Mominul Haque,Mosharraf Hossain,Abu Jayed,0
Mominul Haque,Mosharraf Hossain,Afif Hossain,0
Mominul Haque,Imrul Kayes,Mosharraf Hossain,0
