p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
Tamim Iqbal,18,Soumya Sarkar,66,Sabbir Rahman,0,Mushfiqur Rahim,36,Mohammad Mithun,17,Mahmudullah,19,Mosaddek Hossain,52,Mohammad Saifuddin,0,Mehidy Hasan Miraz,0,Mashrafe Mortaza,0,Mustafizur Rahman,0
Tamim Iqbal,16,Soumya Sarkar,42,Shakib Al Hasan,75,Mushfiqur Rahim,78,Mohammad Mithun,21,Mahmudullah,46,Mosaddek Hossain,26,Mehidy Hasan Miraz,5,Mohammad Saifuddin,0,Mashrafe Mortaza,0,Mustafizur Rahman,0
Tamim Iqbal,24,Soumya Sarkar,25,Shakib Al Hasan,64,Mushfiqur Rahim,19,Mohammad Mithun,26,Mahmudullah,20,Mosaddek Hossain,11,Mohammad Saifuddin,29,Mehidy Hasan Miraz,7,Mashrafe Mortaza,1,Mustafizur Rahman,0
Tamim Iqbal,19,Soumya Sarkar,2,Shakib Al Hasan,121,Mushfiqur Rahim,44,Mohammad Mithun,0,Mahmudullah,28,Mosaddek Hossain,26,Mohammad Saifuddin,5,Mehidy Hasan Miraz,12,Mashrafe Mortaza,4,Mustafizur Rahman,0
Tamim Iqbal,48,Soumya Sarkar,29,Shakib Al Hasan,124,Mushfiqur Rahim,1,Liton Das,94,Mahmudullah,0,Mosaddek Hossain,0,Mohammad Saifuddin,0,Mehidy Hasan Miraz,0,Mashrafe Mortaza,0,Mustafizur Rahman,0
Tamim Iqbal,62,Soumya Sarkar,10,Shakib Al Hasan,41,Mushfiqur Rahim,102,Liton Das,20,Mahmudullah,69,Sabbir Rahman,0,Mehidy Hasan Miraz,6,Mashrafe Mortaza,6,Rubel Hossain,0,Mustafizur Rahman,0
Liton Das,16,Tamim Iqbal,36,Shakib Al Hasan,51,Mushfiqur Rahim,83,Soumya Sarkar,3,Mahmudullah,27,Mosaddek Hossain,35,Mohammad Saifuddin,2,Mehidy Hasan Miraz,0,Mashrafe Mortaza,0,Mustafizur Rahman,0
Tamim Iqbal,22,Soumya Sarkar,33,Shakib Al Hasan,66,Mushfiqur Rahim,24,Liton Das,22,Mosaddek Hossain,3,Sabbir Rahman,36,Mohammad Saifuddin,51,Mashrafe Mortaza,8,Rubel Hossain,9,Mustafizur Rahman,0
Tamim Iqbal,8,Soumya Sarkar,22,Shakib Al Hasan,64,Mushfiqur Rahim,16,Liton Das,32,Mahmudullah,19,Mosaddek Hossain,16,Mohammad Saifuddin,0,Mehidy Hasan Miraz,7,Mashrafe Mortaza,15,Mustafizur Rahman,1
Tamim Iqbal,0,Soumya Sarkar,15,Mohammad Mithun,10,Mushfiqur Rahim,67,Mahmudullah,3,Sabbir Rahman,60,Mosaddek Hossain,12,Mehidy Hasan Miraz,2,Shafiul Islam,2,Rubel Hossain,6,Mustafizur Rahman,18
Tamim Iqbal,19,Soumya Sarkar,11,Mohammad Mithun,12,Mushfiqur Rahim,98,Mahmudullah,6,Sabbir Rahman,11,Mosaddek Hossain,13,Mehidy Hasan Miraz,43,Taijul Islam,3,Mustafizur Rahman,2,Shafiul Islam,0
Anamul Haque,14,Tamim Iqbal,2,Soumya Sarkar,69,Mushfiqur Rahim,10,Mohammad Mithun,4,Mahmudullah,9,Sabbir Rahman,7,Mehidy Hasan Miraz,8,Taijul Islam,39,Shafiul Islam,1,Rubel Hossain,2
Liton Das,126,Tamim Iqbal,24,Najmul Hossain Shanto,29,Mushfiqur Rahim,19,Mahmudullah,32,Mohammad Mithun,50,Mohammad Saifuddin,28,Mehidy Hasan Miraz,7,Mashrafe Mortaza,0,Taijul Islam,0,Mustafizur Rahman,0
Tamim Iqbal,158,Liton Das,9,Najmul Hossain Shanto,6,Mushfiqur Rahim,55,Mahmudullah,41,Mohammad Mithun,32,Mehidy Hasan Miraz,5,Mashrafe Mortaza,1,Taijul Islam,0,Shafiul Islam,5,Al-Amin Hossain,0
Tamim Iqbal,128,Liton Das,176,Mahmudullah,3,Afif Hossain,7,Mohammad Naim,0,Mohammad Mithun,0,Mehidy Hasan Miraz,0,Mashrafe Mortaza,0,Taijul Islam,0,Mohammad Saifuddin,0,Mustafizur Rahman,0
