,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
2034,Mashrafe Mortaza,Mohammad Saifuddin,Liton Das,Rubel Hossain,63.25,50.46
2035,Mashrafe Mortaza,Shakib Al Hasan,Anamul Haque,Rubel Hossain,75.66666667,59.72
2036,Mashrafe Mortaza,Shakib Al Hasan,Abu Jayed,Rubel Hossain,50.0,43.72
2037,Mashrafe Mortaza,Shakib Al Hasan,Mohammad Saifuddin,Rubel Hossain,64.2,56.9
2038,Mashrafe Mortaza,Mustafizur Rahman,Mohammad Saifuddin,Rubel Hossain,35.5,21.889999999999997
2039,Mashrafe Mortaza,Mustafizur Rahman,Najmul Hossain Shanto,Rubel Hossain,37.0,19.709999999999997
2040,Mashrafe Mortaza,Mohammad Saifuddin,Anamul Haque,Rubel Hossain,47.0,36.49
2041,Mashrafe Mortaza,Sabbir Rahman,Mohammad Saifuddin,Rubel Hossain,58.0,41.54
2042,Mashrafe Mortaza,Mehidy Hasan Miraz,Taijul Islam,Tamim Iqbal,107.66666670000001,67.67
2043,Mashrafe Mortaza,Mehidy Hasan Miraz,Taijul Islam,Liton Das,108.0,53.86
2044,Mashrafe Mortaza,Mehidy Hasan Miraz,Liton Das,Mahmudullah,74.04545455,70.63
2045,Mashrafe Mortaza,Mehidy Hasan Miraz,Shakib Al Hasan,Mahmudullah,89.29166667,77.07
2046,Mashrafe Mortaza,Mehidy Hasan Miraz,Anamul Haque,Mahmudullah,60.0,56.660000000000004
2047,Mashrafe Mortaza,Mehidy Hasan Miraz,Sabbir Rahman,Mahmudullah,64.13333333,61.71
2048,Mashrafe Mortaza,Mehidy Hasan Miraz,Shafiul Islam,Mahmudullah,52.0,41.91
2049,Mashrafe Mortaza,Mehidy Hasan Miraz,Najmul Hossain Shanto,Mahmudullah,70.8,51.66
2050,Mashrafe Mortaza,Mehidy Hasan Miraz,Tamim Iqbal,Liton Das,97.07142857,89.76
2051,Mashrafe Mortaza,Mehidy Hasan Miraz,Tamim Iqbal,Shakib Al Hasan,108.8,96.2
2052,Mashrafe Mortaza,Mehidy Hasan Miraz,Tamim Iqbal,Anamul Haque,119.0,75.79
2053,Mashrafe Mortaza,Mehidy Hasan Miraz,Tamim Iqbal,Mohammad Naim,128.0,59.790000000000006
2054,Mashrafe Mortaza,Mehidy Hasan Miraz,Shafiul Islam,Tamim Iqbal,169.0,61.040000000000006
2055,Mashrafe Mortaza,Mehidy Hasan Miraz,Afif Hossain,Tamim Iqbal,135.0,66.79
2056,Mashrafe Mortaza,Mehidy Hasan Miraz,Tamim Iqbal,Najmul Hossain Shanto,115.0,70.79
2057,Mashrafe Mortaza,Mehidy Hasan Miraz,Shakib Al Hasan,Soumya Sarkar,99.1875,86.38
2058,Mashrafe Mortaza,Mehidy Hasan Miraz,Sabbir Rahman,Soumya Sarkar,76.81818182,71.02000000000001
