Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,RG Sharma,RG Sharma1,AM Rahane,AM Rahane2,V Kohli,V Kohli3,MK Pandey,MK Pandey4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,AR Patel,AR Patel7,HH Pandya,HH Pandya8,A Mishra,A Mishra9,UT Yadav,UT Yadav*,JJ Bumrah,JJ Bumrah#
won,RG Sharma,RG Sharma1,AM Rahane,AM Rahane2,V Kohli,V Kohli3,MS Dhoni,MS Dhoni4,MK Pandey,MK Pandey5,KM Jadhav,KM Jadhav6,AR Patel,AR Patel7,HH Pandya,HH Pandya8,A Mishra,A Mishra9,UT Yadav,UT Yadav*,JJ Bumrah,JJ Bumrah#
lost,AM Rahane,AM Rahane1,RG Sharma,RG Sharma2,V Kohli,V Kohli3,MS Dhoni,MS Dhoni4,AR Patel,AR Patel5,MK Pandey,MK Pandey6,KM Jadhav,KM Jadhav7,HH Pandya,HH Pandya8,A Mishra,A Mishra9,DS Kulkarni,DS Kulkarni*,UT Yadav,UT Yadav#
won,AM Rahane,AM Rahane1,RG Sharma,RG Sharma2,V Kohli,V Kohli3,MS Dhoni,MS Dhoni4,MK Pandey,MK Pandey5,KM Jadhav,KM Jadhav6,AR Patel,AR Patel7,J Yadav,J Yadav8,A Mishra,A Mishra9,UT Yadav,UT Yadav*,JJ Bumrah,JJ Bumrah#
won,KL Rahul,KL Rahul1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,Yuvraj Singh,Yuvraj Singh4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,HH Pandya,HH Pandya7,RA Jadeja,RA Jadeja8,R Ashwin,R Ashwin9,JJ Bumrah,JJ Bumrah*,UT Yadav,UT Yadav#
won,KL Rahul,KL Rahul1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,Yuvraj Singh,Yuvraj Singh4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,HH Pandya,HH Pandya7,RA Jadeja,RA Jadeja8,R Ashwin,R Ashwin9,JJ Bumrah,JJ Bumrah*,B Kumar,B Kumar#
lost,AM Rahane,AM Rahane1,KL Rahul,KL Rahul2,V Kohli,V Kohli3,Yuvraj Singh,Yuvraj Singh4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,HH Pandya,HH Pandya7,RA Jadeja,RA Jadeja8,R Ashwin,R Ashwin9,B Kumar,B Kumar*,JJ Bumrah,JJ Bumrah#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,Yuvraj Singh,Yuvraj Singh4,HH Pandya,HH Pandya5,MS Dhoni,MS Dhoni6,KM Jadhav,KM Jadhav7,RA Jadeja,RA Jadeja8,B Kumar,B Kumar9,UT Yadav,UT Yadav*,JJ Bumrah,JJ Bumrah#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,Yuvraj Singh,Yuvraj Singh4,MS Dhoni,MS Dhoni5,HH Pandya,HH Pandya6,KM Jadhav,KM Jadhav7,RA Jadeja,RA Jadeja8,B Kumar,B Kumar9,UT Yadav,UT Yadav*,JJ Bumrah,JJ Bumrah#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,Yuvraj Singh,Yuvraj Singh4,MS Dhoni,MS Dhoni5,HH Pandya,HH Pandya6,KM Jadhav,KM Jadhav7,RA Jadeja,RA Jadeja8,B Kumar,B Kumar9,R Ashwin,R Ashwin*,JJ Bumrah,JJ Bumrah#
