,player-1,player-2,player-3,player-4,avg
277,J Anderson,GJ Delany,MC Sorensen,SP Terry,0.0
278,J Anderson,GJ Delany,MC Sorensen,WTS Porterfield,0.0
279,J Anderson,GJ Delany,MC Sorensen,Simi Singh,0.0
280,J Anderson,GJ Delany,MC Sorensen,J Cameron-Dow,0.0
281,J Anderson,GJ Delany,MC Sorensen,MR Adair,0.0
282,GC Wilson,J Anderson,GJ Delany,LJ Tucker,0.0
283,GC Wilson,J Anderson,GJ Delany,JB Little,0.0
284,GC Wilson,J Anderson,GJ Delany,EC Joyce,0.0
285,GC Wilson,J Anderson,GJ Delany,JF Mooney,0.0
286,GC Wilson,J Anderson,GJ Delany,JA McCollum,0.0
287,GC Wilson,J Anderson,GJ Delany,TJ Murtagh,0.0
288,GC Wilson,J Anderson,GJ Delany,KJ O'Brien,0.0
289,GC Wilson,J Anderson,GJ Delany,A Balbirnie,0.0
290,GC Wilson,J Anderson,GJ Delany,C Campher,0.0
291,GC Wilson,J Anderson,GJ Delany,AR Cusack,0.0
292,GC Wilson,J Anderson,GJ Delany,SW Poynter,0.0
293,GC Wilson,J Anderson,GJ Delany,PKD Chase,0.0
294,GC Wilson,J Anderson,GJ Delany,SP Terry,0.0
295,GC Wilson,J Anderson,GJ Delany,WTS Porterfield,0.0
296,GC Wilson,J Anderson,GJ Delany,Simi Singh,0.0
297,GC Wilson,J Anderson,GJ Delany,J Cameron-Dow,0.0
298,GC Wilson,J Anderson,GJ Delany,MR Adair,0.0
299,LJ Tucker,J Anderson,GJ Delany,JB Little,0.0
300,LJ Tucker,J Anderson,GJ Delany,EC Joyce,0.0
301,LJ Tucker,J Anderson,GJ Delany,JF Mooney,0.0
302,LJ Tucker,J Anderson,GJ Delany,JA McCollum,0.0
303,LJ Tucker,J Anderson,GJ Delany,TJ Murtagh,0.0
304,LJ Tucker,J Anderson,GJ Delany,KJ O'Brien,0.0
305,LJ Tucker,J Anderson,GJ Delany,A Balbirnie,0.0
306,LJ Tucker,J Anderson,GJ Delany,C Campher,0.0
307,LJ Tucker,J Anderson,GJ Delany,AR Cusack,0.0
308,LJ Tucker,J Anderson,GJ Delany,SW Poynter,0.0
309,LJ Tucker,J Anderson,GJ Delany,PKD Chase,0.0
310,LJ Tucker,J Anderson,GJ Delany,SP Terry,0.0
311,LJ Tucker,J Anderson,GJ Delany,WTS Porterfield,0.0
312,LJ Tucker,J Anderson,GJ Delany,Simi Singh,0.0
313,LJ Tucker,J Anderson,GJ Delany,J Cameron-Dow,0.0
314,LJ Tucker,J Anderson,GJ Delany,MR Adair,0.0
315,JB Little,J Anderson,GJ Delany,EC Joyce,0.0
316,JB Little,J Anderson,GJ Delany,JF Mooney,0.0
317,JB Little,J Anderson,GJ Delany,JA McCollum,0.0
318,JB Little,J Anderson,GJ Delany,TJ Murtagh,0.0
319,JB Little,J Anderson,GJ Delany,KJ O'Brien,0.0
320,JB Little,J Anderson,GJ Delany,A Balbirnie,0.0
321,JB Little,J Anderson,GJ Delany,C Campher,0.0
322,JB Little,J Anderson,GJ Delany,AR Cusack,0.0
323,JB Little,J Anderson,GJ Delany,SW Poynter,0.0
324,JB Little,J Anderson,GJ Delany,PKD Chase,0.0
325,JB Little,J Anderson,GJ Delany,SP Terry,0.0
326,JB Little,J Anderson,GJ Delany,WTS Porterfield,0.0
327,JB Little,J Anderson,GJ Delany,Simi Singh,0.0
328,JB Little,J Anderson,GJ Delany,J Cameron-Dow,0.0
329,JB Little,J Anderson,GJ Delany,MR Adair,0.0
330,J Anderson,GJ Delany,JF Mooney,EC Joyce,0.0
331,J Anderson,GJ Delany,JA McCollum,EC Joyce,0.0
332,J Anderson,GJ Delany,TJ Murtagh,EC Joyce,0.0
333,J Anderson,GJ Delany,KJ O'Brien,EC Joyce,0.0
334,J Anderson,GJ Delany,A Balbirnie,EC Joyce,0.0
335,J Anderson,GJ Delany,EC Joyce,C Campher,0.0
336,J Anderson,GJ Delany,EC Joyce,AR Cusack,0.0
337,J Anderson,GJ Delany,SW Poynter,EC Joyce,0.0
338,J Anderson,GJ Delany,PKD Chase,EC Joyce,0.0
339,J Anderson,GJ Delany,SP Terry,EC Joyce,0.0
340,J Anderson,GJ Delany,EC Joyce,WTS Porterfield,0.0
