player-1,player-2,avg
W Madhevere,MN Waller,0
W Madhevere,Mashrafe Mortaza,0
W Madhevere,CB Mpofu,0
W Madhevere,J Nyumbu,0
W Madhevere,TK Musakanda,0
W Madhevere,TP Kamungozi,0
W Madhevere,KM Jarvis,0
W Madhevere,S Matsikenyeri,0
W Madhevere,CR Ervine,0
W Madhevere,CJ Chibhabha,0
W Madhevere,CT Mumba,49
W Madhevere,CK Tshuma,47
W Madhevere,T Muzarabani,0
W Madhevere,Sikandar Raza,110.5
W Madhevere,TS Chisoro,0
W Madhevere,Mohammad Saifuddin,0
W Madhevere,R Murray,0
W Madhevere,B Muzarabani,0
W Madhevere,T Maruma,0
W Madhevere,CK Coventry,0
W Madhevere,Taijul Islam,0
W Madhevere,AG Cremer,0
R Ngarava,T Panyangara,0
R Ngarava,V Sibanda,0
R Ngarava,Mahmudullah,0
R Ngarava,CT Mutombodzi,0
R Ngarava,BB Chari,0
R Ngarava,SC Williams,37.5
R Ngarava,DT Tiripano,22.5
R Ngarava,TS Kamunhukamwe,4
R Ngarava,Tamim Iqbal,0
R Ngarava,PS Masvaure,2
R Ngarava,Najmul Hossain Shanto,0
R Ngarava,TL Chatara,2.8
R Ngarava,ehidy Hasan Miraz,0
R Ngarava,Liton Das,0
R Ngarava,BV Vitori,0
E Chigumbura,R Ngarava,16.33333333
R Ngarava,Mushfiqur Rahim,0
R Ngarava,LN Roche,0
Mustafizur Rahman,R Ngarava,0
R Ngarava,T Mupariwa,0
R Ngarava,PJ Moor,18.125
R Ngarava,C Zhuwao,0
R Ngarava,RW Chakabva,0
R Ngarava,Mohammad Mithun,0
BRM Taylor,R Ngarava,75
R Ngarava,R Mutumbami,0
R Ngarava,MN Waller,11.2
Mashrafe Mortaza,R Ngarava,0
R Ngarava,CB Mpofu,2.8
R Ngarava,J Nyumbu,0
R Ngarava,TK Musakanda,14.28571429
R Ngarava,TP Kamungozi,0
R Ngarava,KM Jarvis,0
R Ngarava,S Matsikenyeri,0
CR Ervine,R Ngarava,17.4
R Ngarava,CJ Chibhabha,17
R Ngarava,CT Mumba,0
R Ngarava,CK Tshuma,0
R Ngarava,T Muzarabani,0
R Ngarava,Sikandar Raza,26
R Ngarava,TS Chisoro,1.5
R Ngarava,Mohammad Saifuddin,0
R Ngarava,R Murray,7.5
R Ngarava,B Muzarabani,3.5
R Ngarava,T Maruma,0
R Ngarava,CK Coventry,0
R Ngarava,Taijul Islam,0
R Ngarava,AG Cremer,7.6
T Panyangara,V Sibanda,20
Mahmudullah,T Panyangara,0
CT Mutombodzi,T Panyangara,12.14285714
BB Chari,T Panyangara,20.5
SC Williams,T Panyangara,37.56521739
DT Tiripano,T Panyangara,16
TS Kamunhukamwe,T Panyangara,0
Tamim Iqbal,T Panyangara,0
T Panyangara,PS Masvaure,0
