p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
Mohammad Shahzad,2,Javed Ahmadi,76,Rahmat Shah,59,Samiullah Shinwari,5,Asghar Afghan,2,Nasir Jamal,7,Mohammad Nabi,9,Sharafuddin Ashraf,21,Rashid Khan,43,Mujeeb Ur Rahman,1,Shapoor Zadran,0
Mohammad Shahzad,24,Ihsanullah,1,Rahmat Shah,69,Nasir Jamal,8,Mohammad Nabi,51,Najibullah Zadran,4,Sharafuddin Ashraf,0,Rashid Khan,6,Dawlat Zadran,10,Mujeeb Ur Rahman,3,Shapoor Zadran,7
Mohammad Shahzad,8,Javed Ahmadi,1,Rahmat Shah,68,Samiullah Shinwari,27,Mohammad Nabi,31,Najibullah Zadran,19,Gulbadin Naib,10,Rashid Khan,13,Sharafuddin Ashraf,7,Dawlat Zadran,0,Mujeeb Ur Rahman,0
Mohammad Shahzad,54,Gulbadin Naib,45,Rahmat Shah,12,Samiullah Shinwari,27,Mohammad Nabi,12,Asghar Afghan,39,Najibullah Zadran,17,Rashid Khan,0,Sharafuddin Ashraf,0,Dawlat Zadran,0,Mujeeb Ur Rahman,0
Mohammad Shahzad,84,Gulbadin Naib,14,Rahmat Shah,51,Samiullah Shinwari,20,Mohammad Nabi,27,Asghar Afghan,0,Najibullah Zadran,0,Rashid Khan,0,Sharafuddin Ashraf,0,Dawlat Zadran,0,Mujeeb Ur Rahman,0
Hazratullah Zazai,14,Ihsanullah,9,Gulbadin Naib,64,Rahmat Shah,29,Hashmatullah Shahidi,54,Asghar Afghan,25,Mohammad Nabi,1,Shafiqullah,11,Rashid Khan,1,Aftab Alam,11,Mujeeb Ur Rahman,4
Mohammad Shahzad,0,Hazratullah Zazai,1,Gulbadin Naib,7,Rahmat Shah,32,Hashmatullah Shahidi,2,Asghar Afghan,39,Mohammad Nabi,13,Najibullah Zadran,42,Rashid Khan,10,Aftab Alam,16,Mujeeb Ur Rahman,12
Mohammad Shahzad,1,Ihsanullah,57,Rahmat Shah,33,Hashmatullah Shahidi,34,Najibullah Zadran,0,Asghar Afghan,0,Gulbadin Naib,0,Mohammad Nabi,0,Rashid Khan,0,Aftab Alam,0,Mujeeb Ur Rahman,0
Mohammad Shahzad,34,Ihsanullah,45,Rahmat Shah,72,Asghar Afghan,1,Hashmatullah Shahidi,37,Mohammad Nabi,15,Najibullah Zadran,12,Gulbadin Naib,4,Rashid Khan,13,Aftab Alam,7,Mujeeb Ur Rahman,0
Mohammad Shahzad,37,Ihsanullah,8,Rahmat Shah,10,Hashmatullah Shahidi,58,Asghar Afghan,8,Samiullah Shinwari,18,Mohammad Nabi,10,Gulbadin Naib,42,Rashid Khan,57,Aftab Alam,0,Mujeeb Ur Rahman,0
Mohammad Shahzad,20,Ihsanullah,10,Rahmat Shah,36,Hashmatullah Shahidi,97,Asghar Afghan,67,Mohammad Nabi,7,Najibullah Zadran,5,Gulbadin Naib,10,Rashid Khan,0,Mujeeb Ur Rahman,0,Aftab Alam,0
Mohammad Shahzad,53,Ihsanullah,8,Rahmat Shah,1,Hashmatullah Shahidi,71,Asghar Afghan,39,Mohammad Nabi,38,Samiullah Shinwari,23,Rashid Khan,5,Gulbadin Naib,0,Mujeeb Ur Rahman,0,Aftab Alam,0
Mohammad Shahzad,43,Hazratullah Zazai,25,Rahmat Shah,22,Hashmatullah Shahidi,9,Gulbadin Naib,46,Asghar Afghan,7,Najibullah Zadran,12,Mohammad Nabi,0,Rashid Khan,0,Mujeeb Ur Rahman,0,Dawlat Zadran,0
Mohammad Shahzad,5,Hazratullah Zazai,34,Rahmat Shah,1,Asghar Afghan,75,Hashmatullah Shahidi,11,Samiullah Shinwari,4,Najibullah Zadran,104,Mohammad Nabi,2,Rashid Khan,8,Dawlat Zadran,2,Mujeeb Ur Rahman,0
Hazratullah Zazai,14,Noor Ali Zadran,9,Rahmat Shah,15,Asghar Afghan,54,Ikram Alikhil,1,Gulbadin Naib,1,Najibullah Zadran,10,Mohammad Nabi,64,Rashid Khan,52,Aftab Alam,0,Mujeeb Ur Rahman,1
Mohammad Shahzad,6,Javed Ahmadi,24,Rahmat Shah,17,Asghar Afghan,82,Samiullah Shinwari,0,Mohammad Nabi,40,Najibullah Zadran,7,Rashid Khan,35,Mujeeb Ur Rahman,0,Zahir Khan,0,Shapoor Zadran,0
Mohammad Shahzad,2,Hazratullah Zazai,14,Rahmat Shah,4,Asghar Afghan,29,Hashmatullah Shahidi,12,Mohammad Nabi,27,Gulbadin Naib,20,Rashid Khan,16,Dawlat Zadran,0,Aftab Alam,5,Mujeeb Ur Rahman,0
Mohammad Shahzad,101,Noor Ali Zadran,5,Rahmat Shah,62,Asghar Afghan,14,Hashmatullah Shahidi,47,Gulbadin Naib,3,Najibullah Zadran,60,Rashid Khan,0,Dawlat Zadran,0,Aftab Alam,0,Mujeeb Ur Rahman,0
Mohammad Shahzad,0,Hazratullah Zazai,0,Rahmat Shah,43,Hashmatullah Shahidi,18,Mohammad Nabi,7,Gulbadin Naib,31,Najibullah Zadran,51,Rashid Khan,27,Dawlat Zadran,4,Mujeeb Ur Rahman,13,Hamid Hassan,1
Mohammad Shahzad,7,Hazratullah Zazai,30,Rahmat Shah,2,Hashmatullah Shahidi,4,Mohammad Nabi,11,Gulbadin Naib,23,Najibullah Zadran,43,Rashid Khan,2,Dawlat Zadran,6,Hamid Hassan,6,Mujeeb Ur Rahman,1
Hazratullah Zazai,34,Noor Ali Zadran,31,Rahmat Shah,0,Hashmatullah Shahidi,59,Gulbadin Naib,4,Mohammad Nabi,9,Najibullah Zadran,4,Ikram Alikhil,2,Rashid Khan,0,Aftab Alam,14,Hamid Hassan,7
Hazratullah Zazai,22,Noor Ali Zadran,32,Rahmat Shah,6,Hashmatullah Shahidi,8,Asghar Afghan,0,Mohammad Nabi,1,Ikram Alikhil,9,Gulbadin Naib,5,Rashid Khan,35,Hamid Hassan,0,Aftab Alam,0
Noor Ali Zadran,0,Gulbadin Naib,37,Rahmat Shah,46,Hashmatullah Shahidi,76,Asghar Afghan,44,Mohammad Nabi,9,Najibullah Zadran,15,Rashid Khan,8,Ikram Alikhil,3,Dawlat Zadran,0,Mujeeb Ur Rahman,0
Hazratullah Zazai,10,Gulbadin Naib,27,Rahmat Shah,36,Hashmatullah Shahidi,21,Asghar Afghan,8,Mohammad Nabi,52,Najibullah Zadran,21,Rashid Khan,14,Ikram Alikhil,7,Aftab Alam,0,Mujeeb Ur Rahman,0
Gulbadin Naib,47,Rahmat Shah,24,Hashmatullah Shahidi,11,Asghar Afghan,20,Mohammad Nabi,0,Samiullah Shinwari,49,Ikram Alikhil,11,Najibullah Zadran,23,Rashid Khan,2,Dawlat Zadran,0,Mujeeb Ur Rahman,0
Rahmat Shah,35,Gulbadin Naib,15,Hashmatullah Shahidi,0,Ikram Alikhil,24,Asghar Afghan,42,Mohammad Nabi,16,Najibullah Zadran,42,Samiullah Shinwari,19,Rashid Khan,8,Hamid Hassan,1,Mujeeb Ur Rahman,7
Gulbadin Naib,5,Rahmat Shah,62,Ikram Alikhil,86,Najibullah Zadran,31,Asghar Afghan,40,Mohammad Nabi,2,Samiullah Shinwari,6,Rashid Khan,9,Dawlat Zadran,1,Sayed Shirzad,25,Mujeeb Ur Rahman,7
Hazratullah Zazai,9,Javed Ahmadi,5,Rahmat Shah,61,Ikram Alikhil,58,Najibullah Zadran,0,Asghar Afghan,35,Mohammad Nabi,1,Gulbadin Naib,17,Rashid Khan,0,Naveen-ul-Haq,1,Mujeeb Ur Rahman,0
Hazratullah Zazai,23,Javed Ahmadi,33,Rahmat Shah,0,Ikram Alikhil,19,Asghar Afghan,3,Najibullah Zadran,56,Mohammad Nabi,32,Rashid Khan,2,Sharafuddin Ashraf,13,Mujeeb Ur Rahman,0,Naveen-ul-Haq,8
Hazratullah Zazai,50,Ibrahim Zadran,2,Rahmat Shah,10,Ikram Alikhil,9,Asghar Afghan,86,Najibullah Zadran,30,Mohammad Nabi,50,Rashid Khan,0,Sharafuddin Ashraf,0,Mujeeb Ur Rahman,0,Yamin Ahmadzai,0
