P1,P1_S,P2,P2_S,P3,P3_S,P4,P4_S,P5,P5_S,P6,P6_S,P7,P7_S,P8,P8_S,P9,P9_S,P10,P10_S,P11,P11_S
D Elgar,4,AK Markram,35,RR Hendricks,1,H Klaasen,1,K Zondo,21,C Jonker,25,JP Duminy,5,AL Phehlukwayo,28,DW Steyn,60,Imran Tahir,1,L Ngidi,4
AK Markram,42,RR Hendricks,66,F du Plessis,26,JP Duminy,1,H Klaasen,59,K Zondo,25,AL Phehlukwayo,0,DW Steyn,4,K Rabada,0,Imran Tahir,0,T Shamsi,0
Q de Kock,47,RR Hendricks,44,AK Markram,36,F du Plessis,10,H Klaasen,2,DA Miller,2,AL Phehlukwayo,0,DW Steyn,0,K Rabada,0,L Ngidi,0,Imran Tahir,0
Q de Kock,9,RR Hendricks,16,AK Markram,19,F du Plessis,47,H Klaasen,14,DA Miller,51,D Pretorius,14,DW Steyn,3,K Rabada,9,L Ngidi,19,Imran Tahir,11
Q de Kock,4,RR Hendricks,8,AK Markram,32,F du Plessis,125,DA Miller,139,H Klaasen,1,D Pretorius,1,DW Steyn,0,K Rabada,0,L Ngidi,0,Imran Tahir,0
HM Amla,108,RR Hendricks,45,HE van der Dussen,93,DA Miller,16,F du Plessis,0,AL Phehlukwayo,0,H Klaasen,0,K Rabada,0,D Pretorius,0,D Olivier,0,Imran Tahir,0
RR Hendricks,5,HM Amla,8,HE van der Dussen,80,F du Plessis,8,DA Miller,31,H Klaasen,0,AL Phehlukwayo,69,K Rabada,0,D Paterson,0,T Shamsi,0,D Olivier,0
Q de Kock,33,HM Amla,25,RR Hendricks,83,F du Plessis,40,HE van der Dussen,0,DA Miller,0,AL Phehlukwayo,0,K Rabada,0,BE Hendricks,0,T Shamsi,0,DW Steyn,0
HM Amla,59,Q de Kock,0,RR Hendricks,2,F du Plessis,57,HE van der Dussen,18,DA Miller,4,AL Phehlukwayo,11,DW Steyn,0,K Rabada,0,BE Hendricks,2,Imran Tahir,5
Q de Kock,83,HM Amla,14,RR Hendricks,34,F du Plessis,50,HE van der Dussen,50,PWA Mulder,0,AL Phehlukwayo,0,DW Steyn,0,K Rabada,0,D Pretorius,0,Imran Tahir,0
Q de Kock,81,RR Hendricks,1,F du Plessis,112,HE van der Dussen,32,DA Miller,0,PWA Mulder,0,D Pretorius,0,K Rabada,0,A Nortje,0,Imran Tahir,0,L Ngidi,0
Q de Kock,94,RR Hendricks,29,F du Plessis,57,HE van der Dussen,2,PWA Mulder,17,DA Miller,25,AL Phehlukwayo,2,K Rabada,3,A Nortje,8,L Ngidi,6,Imran Tahir,1
Q de Kock,121,RR Hendricks,4,F du Plessis,36,HE van der Dussen,50,DA Miller,41,D Pretorius,31,AL Phehlukwayo,38,K Rabada,0,L Ngidi,0,Imran Tahir,0,T Shamsi,0
Q de Kock,51,RR Hendricks,8,AK Markram,29,F du Plessis,43,DA Miller,25,JP Duminy,31,AL Phehlukwayo,0,DW Steyn,0,A Nortje,0,L Ngidi,0,T Shamsi,0
Q de Kock,6,AK Markram,67,F du Plessis,24,HE van der Dussen,28,JP Duminy,0,D Pretorius,0,AL Phehlukwayo,0,A Nortje,0,K Rabada,0,L Ngidi,0,Imran Tahir,0
Q de Kock,68,HM Amla,13,AK Markram,11,F du Plessis,5,HE van der Dussen,50,JP Duminy,8,D Pretorius,1,AL Phehlukwayo,24,K Rabada,11,L Ngidi,6,Imran Tahir,0
Q de Kock,23,AK Markram,45,F du Plessis,62,DA Miller,38,HE van der Dussen,41,JP Duminy,45,AL Phehlukwayo,8,CH Morris,10,K Rabada,13,Imran Tahir,10,L Ngidi,0
HM Amla,6,Q de Kock,10,F du Plessis,38,HE van der Dussen,22,DA Miller,31,JP Duminy,3,AL Phehlukwayo,34,CH Morris,42,K Rabada,31,Imran Tahir,0,T Shamsi,0
HM Amla,41,Q de Kock,68,AL Phehlukwayo,17,AK Markram,0,F du Plessis,0,HE van der Dussen,0,DA Miller,0,CH Morris,0,K Rabada,0,Imran Tahir,0,BE Hendricks,0
Q de Kock,5,HM Amla,55,F du Plessis,23,AK Markram,38,HE van der Dussen,67,DA Miller,36,AL Phehlukwayo,0,CH Morris,6,K Rabada,0,Imran Tahir,0,L Ngidi,0
HM Amla,2,Q de Kock,47,F du Plessis,63,AK Markram,7,HE van der Dussen,36,DA Miller,31,AL Phehlukwayo,46,CH Morris,16,K Rabada,3,L Ngidi,1,Imran Tahir,1
Q de Kock,15,HM Amla,80,F du Plessis,96,HE van der Dussen,0,AK Markram,0,JP Duminy,0,D Pretorius,0,AL Phehlukwayo,0,CH Morris,0,K Rabada,0,Imran Tahir,0
AK Markram,34,Q de Kock,52,F du Plessis,100,HE van der Dussen,95,JP Duminy,14,D Pretorius,2,AL Phehlukwayo,4,CH Morris,0,K Rabada,0,Imran Tahir,0,T Shamsi,0
Q de Kock,107,RR Hendricks,6,T Bavuma,98,HE van der Dussen,38,JT Smuts,7,DA Miller,0,AL Phehlukwayo,0,BE Hendricks,0,L Ngidi,0,L Sipamla,0,T Shamsi,0
Q de Kock,69,RR Hendricks,11,T Bavuma,29,HE van der Dussen,5,JT Smuts,31,DA Miller,69,AL Phehlukwayo,14,BE Hendricks,3,L Sipamla,10,L Ngidi,0,T Shamsi,0
JN Malan,0,Q de Kock,15,T Bavuma,26,K Verreynne,48,H Klaasen,123,DA Miller,64,AL Phehlukwayo,0,KA Maharaj,2,A Nortje,1,L Ngidi,0,T Shamsi,0
JN Malan,129,Q de Kock,0,JT Smuts,41,K Verreynne,3,H Klaasen,51,DA Miller,37,AL Phehlukwayo,0,KA Maharaj,0,A Nortje,0,L Ngidi,0,T Shamsi,0
JN Malan,23,Q de Kock,26,JT Smuts,84,K Verreynne,50,H Klaasen,68,DA Miller,3,AL Phehlukwayo,0,KA Maharaj,0,A Nortje,0,L Sipamla,0,DM Dupavillon,0
