Result,P1,P1_S,P2,P2_S,P3,P3_S,P4,P4_S,P5,P5_S,P6,P6_S,P7,P7_S,P8,P8_S,P9,P9_S,P10,P10_S,P11,P11_S
won,RG Sharma,15,S Dhawan,51,V Kohli,46,AM Rahane,0,MS Dhoni,0,KM Jadhav,0,HH Pandya,0,B Kumar,0,Kuldeep Yadav,0,JJ Bumrah,0,YS Chahal,0
won,RG Sharma,0,S Dhawan,76,V Kohli,160,AM Rahane,11,HH Pandya,14,MS Dhoni,10,KM Jadhav,1,B Kumar,16,Kuldeep Yadav,0,JJ Bumrah,0,YS Chahal,0
lost,RG Sharma,5,S Dhawan,109,V Kohli,75,AM Rahane,8,SS Iyer,18,MS Dhoni,42,HH Pandya,9,B Kumar,5,Kuldeep Yadav,0,JJ Bumrah,0,YS Chahal,0
won,S Dhawan,34,RG Sharma,115,V Kohli,36,AM Rahane,8,SS Iyer,30,HH Pandya,0,MS Dhoni,13,B Kumar,19,Kuldeep Yadav,2,JJ Bumrah,0,YS Chahal,0
won,S Dhawan,18,RG Sharma,15,V Kohli,129,AM Rahane,34,SS Iyer,0,MS Dhoni,0,HH Pandya,0,Kuldeep Yadav,0,SN Thakur,0,JJ Bumrah,0,YS Chahal,0
won,RG Sharma,137,S Dhawan,40,V Kohli,75,KL Rahul,9,SK Raina,0,MS Dhoni,0,HH Pandya,0,S Kaul,0,Kuldeep Yadav,0,UT Yadav,0,YS Chahal,0
lost,RG Sharma,15,S Dhawan,36,V Kohli,45,KL Rahul,0,SK Raina,46,MS Dhoni,37,HH Pandya,21,UT Yadav,0,Kuldeep Yadav,8,S Kaul,1,YS Chahal,12
lost,RG Sharma,2,S Dhawan,44,V Kohli,71,KD Karthik,21,MS Dhoni,42,SK Raina,1,HH Pandya,21,B Kumar,21,SN Thakur,22,Kuldeep Yadav,0,YS Chahal,0
won,RG Sharma,52,S Dhawan,46,AT Rayudu,31,KD Karthik,31,MS Dhoni,0,KM Jadhav,0,HH Pandya,0,B Kumar,0,Kuldeep Yadav,0,YS Chahal,0,JJ Bumrah,0
won,RG Sharma,83,S Dhawan,40,AT Rayudu,13,MS Dhoni,33,KD Karthik,1,KM Jadhav,0,RA Jadeja,0,B Kumar,0,Kuldeep Yadav,0,YS Chahal,0,JJ Bumrah,0
won,RG Sharma,111,S Dhawan,114,AT Rayudu,12,KM Jadhav,0,MS Dhoni,0,KD Karthik,0,Kuldeep Yadav,0,RA Jadeja,0,YS Chahal,0,B Kumar,0,JJ Bumrah,0
won,RG Sharma,48,S Dhawan,15,AT Rayudu,2,KD Karthik,37,MS Dhoni,36,KM Jadhav,23,RA Jadeja,23,B Kumar,21,Kuldeep Yadav,5,JJ Bumrah,0,YS Chahal,0
won,RG Sharma,152,S Dhawan,4,V Kohli,140,AT Rayudu,22,RR Pant,0,MS Dhoni,0,RA Jadeja,0,YS Chahal,0,UT Yadav,0,Mohammed Shami,0,KK Ahmed,0
lost,RG Sharma,8,S Dhawan,35,V Kohli,107,AT Rayudu,22,RR Pant,24,MS Dhoni,7,B Kumar,10,Kuldeep Yadav,15,YS Chahal,3,KK Ahmed,3,JJ Bumrah,0
won,RG Sharma,162,S Dhawan,38,V Kohli,16,AT Rayudu,100,MS Dhoni,23,KM Jadhav,16,RA Jadeja,7,B Kumar,0,Kuldeep Yadav,0,KK Ahmed,0,JJ Bumrah,0
won,RG Sharma,63,S Dhawan,6,V Kohli,33,AT Rayudu,0,KM Jadhav,0,MS Dhoni,0,RA Jadeja,0,B Kumar,0,Kuldeep Yadav,0,KK Ahmed,0,JJ Bumrah,0
lost,RG Sharma,133,S Dhawan,0,V Kohli,3,AT Rayudu,0,MS Dhoni,51,KD Karthik,12,RA Jadeja,8,B Kumar,29,Kuldeep Yadav,3,Mohammed Shami,1,KK Ahmed,0
won,RG Sharma,43,S Dhawan,32,V Kohli,104,AT Rayudu,24,MS Dhoni,55,KD Karthik,25,RA Jadeja,0,Kuldeep Yadav,0,B Kumar,0,Mohammed Shami,0,Mohammed Siraj,0
won,RG Sharma,9,S Dhawan,23,V Kohli,46,MS Dhoni,87,KM Jadhav,61,KD Karthik,0,V Shankar,0,RA Jadeja,0,B Kumar,0,Mohammed Shami,0,YS Chahal,0
