InnigsID,dn,country,p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
1290,DN,New Zealand,KS Williamson,60,MJ Guptill,31,GD Elliott,32,BB McCullum,28,HM Nicholls,4,L Ronchi,19,MJ Henry,0,AF Milne,36,TA Boult,2,MJ Santner,45,CJ Anderson,16
1293,DN,New Zealand,KS Williamson,18,MJ Guptill,59,GD Elliott,50,BB McCullum,47,HM Nicholls,18,L Ronchi,5,MJ Henry,0,AF Milne,5,DAJ Bracewell,2,IS Sodhi,0,CJ Anderson,27
1398,DN,New Zealand,KS Williamson,3,MJ Guptill,12,LRPL Taylor,0,TWM Latham,79,JDS Neesham,10,L Ronchi,0,MJ Santner,0,TG Southee,55,DAJ Bracewell,15,IS Sodhi,1,CJ Anderson,4
1399,DN,New Zealand,KS Williamson,118,MJ Guptill,0,LRPL Taylor,21,TWM Latham,46,AP Devcich,7,L Ronchi,6,MJ Santner,9,TG Southee,0,MJ Henry,6,TA Boult,5,CJ Anderson,21
1402,DN,New Zealand,KS Williamson,22,MJ Guptill,27,LRPL Taylor,44,TWM Latham,61,JDS Neesham,57,L Ronchi,1,MJ Santner,7,TG Southee,13,MJ Henry,39,TA Boult,1,CJ Anderson,6
1403,DN,New Zealand,KS Williamson,41,MJ Guptill,72,LRPL Taylor,35,TWM Latham,39,JDS Neesham,6,BJ Watling,14,MJ Santner,17,TG Southee,9,IS Sodhi,0,TA Boult,0,AP Devcich,11
1406,DN,New Zealand,KS Williamson,27,MJ Guptill,0,LRPL Taylor,19,TWM Latham,19,JDS Neesham,3,BJ Watling,0,MJ Santner,4,TG Southee,0,IS Sodhi,0,TA Boult,1,CJ Anderson,0
1418,DN,New Zealand,MJ Guptill,114,TWM Latham,2,KS Williamson,9,JDS Neesham,34,BJ Watling,6,C Munro,49,MJ Santner,0,C de Grandhomme,6,MJ Henry,27,LH Ferguson,0,TA Boult,1
1420,DN,New Zealand,MJ Guptill,45,TWM Latham,4,KS Williamson,81,JDS Neesham,74,C Munro,11,C de Grandhomme,12,MJ Santner,2,BJ Watling,17,TG Southee,2,MJ Henry,7,TA Boult,2
1422,DN,New Zealand,MJ Guptill,34,TWM Latham,28,KS Williamson,13,HM Nicholls,3,C Munro,20,BJ Watling,8,C de Grandhomme,11,MJ Santner,15,TG Southee,4,LH Ferguson,4,TA Boult,1
1423,D,New Zealand,MJ Guptill,15,TWM Latham,137,KS Williamson,31,NT Broom,22,JDS Neesham,12,C Munro,87,L Ronchi,5,MJ Santner,8,TG Southee,7,LH Ferguson,0,TA Boult,0
1425,D,New Zealand,MJ Guptill,0,TWM Latham,22,KS Williamson,14,NT Broom,109,JDS Neesham,28,C Munro,3,L Ronchi,35,MJ Santner,9,TG Southee,3,LH Ferguson,4,TA Boult,12
1427,D,New Zealand,MJ Guptill,6,TWM Latham,4,KS Williamson,95,NT Broom,97,JDS Neesham,28,C Munro,0,L Ronchi,0,MJ Santner,0,TG Southee,0,MJ Henry,0,JS Patel,0
1447,D,New Zealand,MJ Guptill,61,TWM Latham,7,KS Williamson,24,LRPL Taylor,16,NT Broom,73,C Munro,2,JDS Neesham,48,MJ Santner,7,TG Southee,0,LH Ferguson,3,TA Boult,16
1453,D,New Zealand,DG Brownlie,63,TWM Latham,0,KS Williamson,36,LRPL Taylor,107,NT Broom,8,C Munro,3,JDS Neesham,1,MJ Santner,38,TG Southee,10,LH Ferguson,0,TA Boult,1
1462,DN,New Zealand,DG Brownlie,31,TWM Latham,0,KS Williamson,59,LRPL Taylor,1,NT Broom,2,JDS Neesham,29,MJ Santner,17,C de Grandhomme,34,TG Southee,24,IS Sodhi,0,TA Boult,0
1467,D,New Zealand,DG Brownlie,34,TWM Latham,2,KS Williamson,69,LRPL Taylor,102,NT Broom,2,JDS Neesham,71,MJ Santner,0,C de Grandhomme,0,IS Sodhi,0,TG Southee,0,TA Boult,0
1472,DN,New Zealand,DG Brownlie,2,TWM Latham,0,KS Williamson,23,LRPL Taylor,18,NT Broom,0,JDS Neesham,13,MJ Santner,1,C de Grandhomme,34,TG Southee,5,LH Ferguson,4,TA Boult,4
1475,DN,New Zealand,MJ Guptill,180,DG Brownlie,4,KS Williamson,21,LRPL Taylor,66,L Ronchi,1,JDS Neesham,0,MJ Santner,0,C de Grandhomme,0,TG Southee,0,JS Patel,0,TA Boult,0
1480,DN,New Zealand,MJ Guptill,4,DG Brownlie,24,KS Williamson,9,LRPL Taylor,8,L Ronchi,8,JDS Neesham,24,MJ Santner,24,C de Grandhomme,32,TG Southee,6,JS Patel,0,TA Boult,0
1509,D,New Zealand,L Ronchi,37,TWM Latham,15,GH Worker,50,LRPL Taylor,52,NT Broom,79,JDS Neesham,30,C Munro,0,SC Kuggeleijn,11,MJ Santner,1,SHA Rance,0,IS Sodhi,0
1511,D,New Zealand,TWM Latham,54,L Ronchi,27,GH Worker,17,LRPL Taylor,25,NT Broom,48,JDS Neesham,52,C Munro,16,MJ Santner,5,SHA Rance,0,IS Sodhi,0,HK Bennett,0
1515,D,New Zealand,L Ronchi,35,TWM Latham,104,NT Broom,38,LRPL Taylor,57,CJ Anderson,20,MJ Santner,20,C Munro,44,AF Milne,10,SC Kuggeleijn,0,IS Sodhi,0,MJ Henry,0
1518,D,New Zealand,TWM Latham,84,L Ronchi,2,NT Broom,63,LRPL Taylor,60,CJ Anderson,24,JDS Neesham,6,MJ Santner,0,C Munro,1,MJ Henry,5,JS Patel,7,HK Bennett,0
1532,D,New Zealand,MJ Guptill,27,L Ronchi,0,KS Williamson,87,LRPL Taylor,39,NT Broom,11,JDS Neesham,18,CJ Anderson,10,MJ Santner,3,AF Milne,10,TG Southee,2,TA Boult,0
1538,D,New Zealand,MJ Guptill,33,L Ronchi,16,KS Williamson,57,LRPL Taylor,63,NT Broom,36,JDS Neesham,23,CJ Anderson,0,MJ Santner,14,AF Milne,7,TG Southee,10,TA Boult,0
1613,DN,New Zealand,MJ Guptill,32,C Munro,28,KS Williamson,6,LRPL Taylor,95,TWM Latham,103,HM Nicholls,4,C de Grandhomme,0,MJ Santner,0,AF Milne,0,TG Southee,0,TA Boult,0
1620,DN,New Zealand,MJ Guptill,11,C Munro,10,KS Williamson,3,LRPL Taylor,21,TWM Latham,38,HM Nicholls,42,C de Grandhomme,41,MJ Santner,29,AF Milne,0,TG Southee,25,TA Boult,2
1622,DN,New Zealand,MJ Guptill,10,C Munro,75,KS Williamson,64,LRPL Taylor,39,TWM Latham,65,HM Nicholls,37,C de Grandhomme,8,MJ Santner,9,TG Southee,4,AF Milne,0,TA Boult,0
1635,D,New Zealand,GH Worker,57,C Munro,49,KS Williamson,38,LRPL Taylor,49,TWM Latham,17,HM Nicholls,17,TD Astle,15,DAJ Bracewell,0,TG Southee,0,LH Ferguson,0,TA Boult,0
