Result,P1,P1_S,P2,P2_S,P3,P3_S,P4,P4_S,P5,P5_S,P6,P6_S,P7,P7_S,P8,P8_S,P9,P9_S,P10,P10_S,P11,P11_S
lost,CH Gayle,36,E Lewis,2,SD Hope,11,N Pooran,63,SO Hetmyer,39,JO Holder,9,AD Russell,21,CR Brathwaite,14,SS Cottrell,0,O Thomas,0,ST Gabriel,0
lost,CH Gayle,0,E Lewis,70,SD Hope,96,N Pooran,25,SO Hetmyer,50,AD Russell,0,JO Holder,33,DM Bravo,19,O Thomas,6,SS Cottrell,0,ST Gabriel,0
lost,CH Gayle,87,SD Hope,1,N Pooran,1,SO Hetmyer,54,JO Holder,0,CR Brathwaite,101,AR Nurse,1,E Lewis,0,KAJ Roach,14,SS Cottrell,15,O Thomas,0
lost,CH Gayle,6,SW Ambris,31,SD Hope,5,N Pooran,28,SO Hetmyer,18,JO Holder,6,CR Brathwaite,1,FA Allen,0,KAJ Roach,14,SS Cottrell,10,O Thomas,6
lost,CH Gayle,35,SW Ambris,5,SD Hope,5,SO Hetmyer,29,N Pooran,118,JO Holder,26,CR Brathwaite,8,FA Allen,51,SS Cottrell,7,O Thomas,1,ST Gabriel,3
won,CH Gayle,7,E Lewis,58,SD Hope,77,SO Hetmyer,39,N Pooran,58,JO Holder,45,CR Brathwaite,14,FA Allen,0,SS Cottrell,0,KAJ Roach,0,O Thomas,0
lost,CH Gayle,11,E Lewis,65,SD Hope,5,SO Hetmyer,18,N Pooran,42,RL Chase,18,JO Holder,13,CR Brathwaite,0,KAJ Roach,0,SS Cottrell,17,O Thomas,0
lost,CH Gayle,72,E Lewis,43,SD Hope,24,SO Hetmyer,25,N Pooran,30,JO Holder,14,CR Brathwaite,16,FA Allen,6,KMA Paul,0,RL Chase,0,KAJ Roach,0
won,SD Hope,77,E Lewis,7,SO Hetmyer,3,RL Chase,94,N Pooran,8,KA Pollard,0,JO Holder,0,SS Cottrell,0,R Shepherd,0,HR Walsh,0,AS Joseph,0
won,SD Hope,43,E Lewis,54,SO Hetmyer,34,RL Chase,9,N Pooran,67,KA Pollard,3,JO Holder,9,R Shepherd,6,AS Joseph,1,HR Walsh,4,SS Cottrell,0
won,SD Hope,109,E Lewis,1,SO Hetmyer,0,BA King,39,N Pooran,21,KA Pollard,32,RL Chase,42,KMA Paul,0,R Shepherd,0,AS Joseph,0,HR Walsh,0
won,SD Hope,102,SW Ambris,9,SO Hetmyer,139,N Pooran,29,RL Chase,0,KA Pollard,0,JO Holder,0,KMA Paul,0,HR Walsh,0,AS Joseph,0,SS Cottrell,0
lost,E Lewis,30,SD Hope,78,SO Hetmyer,4,RL Chase,4,N Pooran,75,KA Pollard,0,JO Holder,11,KMA Paul,46,AS Joseph,0,K Pierre,21,SS Cottrell,0
lost,E Lewis,21,SD Hope,42,RL Chase,38,SO Hetmyer,37,N Pooran,89,KA Pollard,74,JO Holder,7,KMA Paul,0,AS Joseph,0,K Pierre,0,SS Cottrell,0
won,SD Hope,13,E Lewis,99,BA King,20,SO Hetmyer,8,N Pooran,17,RL Chase,19,KA Pollard,0,KMA Paul,0,AS Joseph,0,SS Cottrell,0,HR Walsh,0
won,SD Hope,25,E Lewis,7,SO Hetmyer,6,BA King,0,N Pooran,52,KA Pollard,40,R Shepherd,8,K Pierre,18,HR Walsh,46,AS Joseph,16,SS Cottrell,7
won,SD Hope,6,E Lewis,102,SW Ambris,6,BA King,38,N Pooran,43,R Shepherd,1,RL Chase,2,KA Pollard,0,HR Walsh,0,AS Joseph,0,O Thomas,0
lost,SD Hope,115,SW Ambris,3,DM Bravo,39,RL Chase,41,N Pooran,11,KA Pollard,9,JO Holder,12,KMA Paul,32,HR Walsh,20,AS Joseph,0,SS Cottrell,0
lost,SD Hope,51,SW Ambris,17,DM Bravo,16,RL Chase,20,N Pooran,31,KA Pollard,0,JO Holder,3,KMA Paul,21,FA Allen,17,AS Joseph,0,SS Cottrell,0
lost,SD Hope,72,SW Ambris,60,N Pooran,50,KA Pollard,49,DM Bravo,8,JO Holder,8,FA Allen,37,HR Walsh,2,RL Chase,0,AS Joseph,0,SS Cottrell,1
