InnigsID,dn,country,p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
1723,D,England,JJ Roy,120,JM Bairstow,42,AD Hales,26,JE Root,22,JC Buttler,91,SW Billings,11,MM Ali,8,DJ Willey,11,LE Plunkett,1,AU Rashid,0,MA Wood,0
1725,DN,England,JJ Roy,82,JM Bairstow,139,AD Hales,147,JC Buttler,11,EJG Morgan,67,MM Ali,11,JE Root,4,DJ Willey,1,LE Plunkett,0,AU Rashid,0,MA Wood,0
1727,DN,England,JJ Roy,101,JM Bairstow,79,AD Hales,34,JE Root,27,EJG Morgan,15,JC Buttler,54,MM Ali,0,DJ Willey,0,C Overton,0,AU Rashid,0,MA Wood,0
1729,D,England,JJ Roy,1,JM Bairstow,12,AD Hales,20,JE Root,1,EJG Morgan,0,JC Buttler,110,MM Ali,16,SM Curran,15,LE Plunkett,0,AU Rashid,20,JT Ball,1
1732,D,England,JJ Roy,38,JM Bairstow,38,JE Root,3,EJG Morgan,19,BA Stokes,50,JC Buttler,53,MM Ali,24,DJ Willey,1,AU Rashid,22,LE Plunkett,10,MA Wood,0
1735,D,England,JJ Roy,40,JM Bairstow,38,JE Root,113,EJG Morgan,53,BA Stokes,5,JC Buttler,4,MM Ali,13,DJ Willey,50,AU Rashid,0,LE Plunkett,0,MA Wood,0
1739,D,England,JM Vince,27,JM Bairstow,30,JE Root,100,EJG Morgan,88,BA Stokes,0,JC Buttler,0,MM Ali,0,DJ Willey,0,LE Plunkett,0,AU Rashid,0,MA Wood,0
1795,D,England,JJ Roy,0,JM Bairstow,26,JE Root,71,EJG Morgan,92,BA Stokes,15,JC Buttler,28,MM Ali,0,CR Woakes,5,LA Dawson,4,AU Rashid,19,OP Stone,9
1797,DN,England,JJ Roy,41,JM Bairstow,4,JE Root,8,EJG Morgan,58,BA Stokes,35,JC Buttler,0,MM Ali,0,CR Woakes,0,TK Curran,0,AU Rashid,0,OP Stone,0
1799,D,England,JJ Roy,45,AD Hales,12,JE Root,32,EJG Morgan,31,BA Stokes,0,JC Buttler,0,MM Ali,0,CR Woakes,0,TK Curran,0,AU Rashid,0,OP Stone,0
1806,DN,England,JJ Roy,4,AD Hales,0,JE Root,10,JC Buttler,0,BA Stokes,67,MM Ali,37,SM Curran,2,AU Rashid,4,LE Plunkett,5,TK Curran,1,MA Wood,0
1871,DN,England,JJ Roy,123,JM Bairstow,34,JE Root,102,EJG Morgan,65,BA Stokes,20,JC Buttler,4,MM Ali,0,CR Woakes,0,LE Plunkett,0,AU Rashid,0,MA Wood,0
1874,DN,England,JJ Roy,2,JM Bairstow,0,JE Root,36,EJG Morgan,70,BA Stokes,79,JC Buttler,34,MM Ali,12,TK Curran,0,AU Rashid,15,LE Plunkett,2,MA Wood,1
1875,D,England,JM Bairstow,56,AD Hales,82,JE Root,5,EJG Morgan,103,JC Buttler,150,BA Stokes,11,MM Ali,0,CR Woakes,0,AU Rashid,0,LE Plunkett,0,MA Wood,0
1882,DN,England,JM Bairstow,11,AD Hales,23,JE Root,1,EJG Morgan,18,BA Stokes,15,JC Buttler,23,MM Ali,12,CR Woakes,0,TK Curran,0,AU Rashid,0,MA Wood,0
1917,D,England,JM Vince,18,DJ Malan,24,JE Root,7,EJG Morgan,0,JL Denly,8,BT Foakes,61,DJ Willey,20,TK Curran,47,AU Rashid,0,LE Plunkett,0,JC Archer,0
1925,D,England,JJ Roy,87,JM Bairstow,51,JE Root,40,EJG Morgan,71,JC Buttler,110,BA Stokes,0,MM Ali,0,DJ Willey,0,AU Rashid,0,CR Woakes,0,LE Plunkett,0
1929,DN,England,JJ Roy,76,JM Bairstow,128,JE Root,43,BA Stokes,37,MM Ali,46,EJG Morgan,17,JL Denly,0,TK Curran,0,CR Woakes,0,DJ Willey,0,LE Plunkett,0
1935,DN,England,JJ Roy,114,JM Vince,43,JE Root,36,BA Stokes,71,JC Buttler,0,MM Ali,0,JL Denly,17,TK Curran,31,AU Rashid,12,JC Archer,0,MA Wood,0
