Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,JP Duminy,JP Duminy5,DA Miller,DA Miller6,CH Morris,CH Morris7,WD Parnell,WD Parnell8,AL Phehlukwayo,AL Phehlukwayo9,K Rabada,K Rabada10,Imran Tahir,Imran Tahir11
won,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,JP Duminy,JP Duminy5,DA Miller,DA Miller6,CH Morris,CH Morris7,WD Parnell,WD Parnell8,AL Phehlukwayo,AL Phehlukwayo9,K Rabada,K Rabada10,Imran Tahir,Imran Tahir11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,JP Duminy,JP Duminy5,F Behardien,F Behardien6,CH Morris,CH Morris7,D Pretorius,D Pretorius8,AL Phehlukwayo,AL Phehlukwayo9,K Rabada,K Rabada10,Imran Tahir,Imran Tahir11
won,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,JP Duminy,JP Duminy5,F Behardien,F Behardien6,WD Parnell,WD Parnell7,D Pretorius,D Pretorius8,Imran Tahir,Imran Tahir9,K Rabada,K Rabada10,T Shamsi,T Shamsi11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,JP Duminy,JP Duminy5,F Behardien,F Behardien6,CH Morris,CH Morris7,WD Parnell,WD Parnell8,AL Phehlukwayo,AL Phehlukwayo9,Imran Tahir,Imran Tahir10,K Rabada,K Rabada11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,JP Duminy,JP Duminy5,F Behardien,F Behardien6,CH Morris,CH Morris7,AL Phehlukwayo,AL Phehlukwayo8,T Shamsi,T Shamsi9,K Rabada,K Rabada10,Imran Tahir,Imran Tahir11
lost,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,JP Duminy,JP Duminy4,AB de Villiers,AB de Villiers5,DA Miller,DA Miller6,D Pretorius,D Pretorius7,CH Morris,CH Morris8,WD Parnell,WD Parnell9,AL Phehlukwayo,AL Phehlukwayo10,Imran Tahir,Imran Tahir11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,JP Duminy,JP Duminy5,DA Miller,DA Miller6,D Pretorius,D Pretorius7,WD Parnell,WD Parnell8,AL Phehlukwayo,AL Phehlukwayo9,Imran Tahir,Imran Tahir10,K Rabada,K Rabada11
lost,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,JP Duminy,JP Duminy4,AB de Villiers,AB de Villiers5,DA Miller,DA Miller6,D Pretorius,D Pretorius7,CH Morris,CH Morris8,WD Parnell,WD Parnell9,K Rabada,K Rabada10,Imran Tahir,Imran Tahir11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,JP Duminy,JP Duminy4,AB de Villiers,AB de Villiers5,DA Miller,DA Miller6,D Pretorius,D Pretorius7,CH Morris,CH Morris8,AL Phehlukwayo,AL Phehlukwayo9,K Rabada,K Rabada10,Imran Tahir,Imran Tahir11
