,player-1,player-2,avg
459,SS Iyer,MK Tiwary,0.0
460,SS Iyer,MK Pandey,54.833333333333336
461,SS Iyer,Mohammed Siraj,0.0
462,SS Iyer,KM Jadhav,79.42857142857143
463,SS Iyer,UT Yadav,0.0
464,Kuldeep Yadav,SS Iyer,39.92307692307692
465,RG Sharma,SS Iyer,95.71428571428571
466,STR Binny,SS Iyer,0.0
467,SS Iyer,BB Sran,0.0
468,SS Iyer,SN Thakur,48.0
469,S Kaul,SS Iyer,0.0
470,SS Iyer,NA Saini,45.0
471,KL Rahul,SS Iyer,104.11111111111111
472,SS Iyer,PP Shaw,100.33333333333333
473,SS Iyer,A Mishra,0.0
474,R Dhawan,SS Iyer,0.0
475,KD Karthik,SS Iyer,62.666666666666664
476,JJ Bumrah,SS Iyer,40.166666666666664
477,Mohammed Shami,SS Iyer,48.666666666666664
478,SS Iyer,MM Sharma,0.0
479,Washington Sundar,SS Iyer,88.0
480,SS Iyer,RR Pant,72.5
481,SS Iyer,DS Kulkarni,0.0
482,SS Iyer,HH Pandya,39.5
483,SS Iyer,Harbhajan Singh,0.0
484,SS Iyer,DL Chahar,64.5
485,SS Iyer,KK Ahmed,68.0
486,SS Iyer,Shubman Gill,0.0
487,SS Iyer,MS Dhoni,56.166666666666664
488,SS Iyer,AT Rayudu,0.0
489,SS Iyer,FY Fazal,0.0
490,SS Iyer,V Shankar,0.0
491,SS Iyer,I Sharma,0.0
492,RA Jadeja,SS Iyer,65.63636363636364
493,SS Iyer,AR Patel,0.0
494,SS Iyer,S Dube,79.0
495,R Ashwin,J Yadav,0.0
496,R Ashwin,YS Chahal,0.0
497,R Ashwin,KK Nair,0.0
498,R Ashwin,MK Tiwary,0.0
499,R Ashwin,MK Pandey,3.5
500,R Ashwin,Mohammed Siraj,0.0
501,R Ashwin,KM Jadhav,38.875
502,R Ashwin,UT Yadav,3.875
503,Kuldeep Yadav,R Ashwin,0.0
504,RG Sharma,R Ashwin,66.6470588235294
505,STR Binny,R Ashwin,9.5
506,R Ashwin,BB Sran,0.5
507,R Ashwin,SN Thakur,0.0
508,S Kaul,R Ashwin,0.0
509,R Ashwin,NA Saini,0.0
510,KL Rahul,R Ashwin,13.333333333333334
511,R Ashwin,PP Shaw,0.0
512,R Ashwin,A Mishra,0.0
513,R Dhawan,R Ashwin,0.0
514,KD Karthik,R Ashwin,0.0
515,JJ Bumrah,R Ashwin,3.0
516,Mohammed Shami,R Ashwin,6.75
517,R Ashwin,MM Sharma,5.125
518,Washington Sundar,R Ashwin,0.0
519,R Ashwin,RR Pant,0.0
520,R Ashwin,DS Kulkarni,3.0
521,R Ashwin,HH Pandya,26.5
522,R Ashwin,Harbhajan Singh,0.0
523,R Ashwin,DL Chahar,0.0
524,R Ashwin,KK Ahmed,0.0
525,R Ashwin,Shubman Gill,0.0
526,R Ashwin,MS Dhoni,34.68181818181818
